feature_id,object,route,actor,function,implementation_status,local_dev_status,local_user_status,production_dev_status,production_user_status,automation,evidence,last_verified_at,release,notes,defect
public.home.load,public,/,anonymous,Load public homepage,IMPLEMENTED,PASS,PASS,NOT_TESTED,NOT_TESTED,curl and browser,"local health 200; browser homepage rendered",2026-08-13,codex/dev,"Canonical local runtime verified at local.mladis.com.",
public.agent.authenticated_access,agent,/,authenticated_guest,Use booking agent as signed-in guest,IMPLEMENTED,PASS,PASS,NOT_TESTED,NOT_TESTED,Django and browser,"bookings.tests.AgentAPITests; authenticated browser form enabled",2026-08-13,codex/dev,"Local QA guest authenticated through the real login form.",
public.agent.reply_presentation,agent,/,authenticated_guest,Read booking agent response,IMPLEMENTED,PASS,PASS,NOT_TESTED,NOT_TESTED,Django frontend build and browser,"docs/qa/evidence/2026-08-13-agent-readability/agent-readability-local.png",2026-08-13,codex/dev,"63-word structured setup response; 13.12px; heading plus three steps; no application console errors.",
public.agent.live_openai_reply,agent,/api/agent/,authenticated_guest,Receive live OpenAI booking answer,IMPLEMENTED,PASS,BLOCKED,NOT_TESTED,NOT_TESTED,Django mocked provider contract,"bookings.tests.AgentAPITests",2026-08-13,codex/dev,"Blocked locally: approved local .env has no OPENAI_API_KEY. Mocked OpenAI service contract passes.",
public.agent.question_limit,agent,/api/agent/,authenticated_guest,Enforce per-user question limit,IMPLEMENTED,PASS,NOT_TESTED,NOT_TESTED,NOT_TESTED,Django,"bookings.tests.AgentAPITests",2026-08-13,codex/dev,"Browser limit state not rerun in this pass.",
public.booking.create,reservations,/inquiries/,authenticated_guest,Create reservation request,IMPLEMENTED,NOT_TESTED,NOT_TESTED,PASS,PASS,Django and production canary,"docs/releases/2026-08-12-4.md",2026-08-12,release/2026.08.12-4,"Prior production canary evidence; rerun after relevant changes.",
account.reservation.view,reservations,/accounts/,authenticated_guest,View created reservation,IMPLEMENTED,NOT_TESTED,NOT_TESTED,PASS,PASS,Django and production canary,"docs/releases/2026-08-12-4.md",2026-08-12,release/2026.08.12-4,"Prior production canary evidence.",
account.reservation.edit,reservations,/accounts/reservations/<id>/edit/,authenticated_guest,Edit reservation,UNKNOWN,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,none,,2026-08-13,codex/dev,"Requires function audit and browser execution.",
account.reservation.cancel,reservations,/accounts/reservations/<id>/cancel/,authenticated_guest,Cancel reservation,IMPLEMENTED,NOT_TESTED,NOT_TESTED,PASS,PASS,Django and production canary,"docs/releases/2026-08-12-4.md",2026-08-12,release/2026.08.12-4,"Prior production canary also verified removal from manager calendar.",
checkout.stripe.authorization,payments,/payments/checkout/,authenticated_guest,Authorize stay payment with Stripe,IMPLEMENTED,NOT_TESTED,NOT_TESTED,PASS,PASS,Django Stripe and production canary,"docs/releases/2026-08-12-4.md",2026-08-12,release/2026.08.12-4,"USD 0.99 production canary captured and refunded; rerun after payment changes.",
checkout.paypal.authorization,payments,/deposits/checkout/,authenticated_guest,Authorize through PayPal,PARTIAL,BLOCKED,BLOCKED,BLOCKED,BLOCKED,provider contract,,2026-08-13,codex/dev,"Blocked: approved PayPal credentials are not configured.",
notifications.customer.authorization,communications,email,authenticated_guest,Receive customer authorization email,IMPLEMENTED,NOT_TESTED,NOT_TESTED,PASS,PASS,email and production canary,"docs/releases/2026-08-12-4.md",2026-08-12,release/2026.08.12-4,"Prior controlled-inbox evidence.",
notifications.ops.authorization,communications,email,staff_operator,Receive MLADIS operations authorization copy,IMPLEMENTED,NOT_TESTED,NOT_TESTED,PASS,PASS,email and production canary,"docs/releases/2026-08-12-4.md",2026-08-12,release/2026.08.12-4,"Prior controlled-inbox evidence.",
ops.dashboard.load,dashboard,/ops/dashboard/,staff_operator,Load Command Center,IMPLEMENTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,Django route smoke,,2026-08-13,codex/dev,"Interactive controls require audit.",
ops.reservations.workspace,reservations,/ops/reservations/,staff_operator,Manage reservations workspace,IMPLEMENTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,Django route smoke,,2026-08-13,codex/dev,"Search filters pagination selection and transitions require separate rows during audit.",
ops.calendar.navigation,calendar,/ops/calendar/,staff_operator,Use Calendar List Rooms Analytics views,IMPLEMENTED,NOT_TESTED,NOT_TESTED,PASS,PASS,Django and production canary,"docs/releases/2026-08-12-4.md",2026-08-12,release/2026.08.12-4,"Prior production manager canary.",
ops.calendar.block,calendar,/ops/calendar/,staff_operator,Create and remove calendar block,IMPLEMENTED,NOT_TESTED,NOT_TESTED,PASS,PASS,Django and production canary,"docs/releases/2026-08-12-4.md",2026-08-12,release/2026.08.12-4,"Prior production manager canary.",
ops.calendar.price_override,calendar,/ops/calendar/,staff_operator,Create and remove price override,IMPLEMENTED,NOT_TESTED,NOT_TESTED,PASS,PASS,Django and production canary,"docs/releases/2026-08-12-4.md",2026-08-12,release/2026.08.12-4,"Prior production manager canary.",
ops.guests.workspace,guests,/ops/guests/,staff_operator,Manage real guest records,IMPLEMENTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,Django route smoke,,2026-08-13,codex/dev,"Table filters pagination export and details require browser audit.",
